ID,year,model,brand,AmountSold
2235,2019,rogue,nissan,26516
2236,2019,rogue,nissan,31397
2237,2019,versa,nissan,18300
2238,2019,note,nissan,26743
2239,2019,versa,nissan,15832
2240,2019,sport,nissan,31939
2241,2019,sentra,nissan,31037
2242,2019,versa,nissan,22521
2243,2019,versa,nissan,31335
2244,2019,versa,nissan,28315
2245,2017,armada,nissan,83437
2246,2018,altima,nissan,42250
2247,2018,rogue,nissan,45732
2248,2018,pathfinder,nissan,49185
2249,2017,rogue,nissan,45826
2250,2017,door,nissan,36844
2251,2013,door,nissan,104343
2252,2018,pathfinder,nissan,34138
2253,2018,versa,nissan,34761
2254,2018,rogue,nissan,32656
2255,2018,versa,nissan,34837
2256,2019,altima,nissan,30099
2257,2018,sentra,nissan,37088
2258,2017,door,nissan,41729
2259,2017,titan,nissan,17195
2260,2018,sedan,nissan,43064
2261,2018,sedan,nissan,47510
2262,2018,sedan,nissan,52571
2263,2018,frontier,nissan,12129
2264,2017,sedan,nissan,62280
2265,2017,door,nissan,74859
2266,2017,door,nissan,59508
2267,2017,juke,nissan,58529
2268,2015,door,nissan,24396
2269,2020,armada,nissan,10317
2270,2017,door,nissan,37619
2271,2020,altima,nissan,15160
2272,2015,door,nissan,91898
2273,2017,pathfinder,nissan,31198
2274,2013,door,nissan,144015
2275,2017,titan,nissan,15621
2276,2018,versa,nissan,54815
2277,2016,door,nissan,53011
2278,2018,versa,nissan,56255
2279,2013,door,nissan,100225
2280,2017,sentra,nissan,54117
2281,2017,door,nissan,54119
2282,2012,door,nissan,162176
2283,2018,rogue,nissan,37655
2284,2015,door,nissan,101178
2285,2012,door,nissan,206142
2286,2018,sport,nissan,43187
2287,2013,door,nissan,105590
2288,2018,versa,nissan,53903
2289,2015,door,nissan,73382
2290,2018,versa,nissan,48977
2291,2016,door,nissan,77504
2292,2018,versa,nissan,50871
2293,2012,door,nissan,107734
2294,2018,versa,nissan,53098
2295,2012,door,nissan,159990
2296,2018,versa,nissan,51552
2297,2018,versa,nissan,54692
2298,2019,frontier,nissan,18611
2299,2018,versa,nissan,51654
2300,2019,frontier,nissan,24046
2301,2018,versa,nissan,65184
2302,2019,armada,nissan,37398
2303,2020,rogue,nissan,19597
2304,2019,rogue,nissan,34122
2305,2015,doors,nissan,43651
2306,2020,rogue,nissan,15387
2307,2020,cargo,nissan,264
2308,2016,door,nissan,58126
2309,2015,doors,nissan,62921
2310,2015,doors,nissan,43279
2311,2012,door,nissan,117844
2312,2015,doors,nissan,45043
2313,2016,murano,nissan,42837
2314,2018,sentra,nissan,42782
2315,2015,doors,nissan,24629
2316,2015,door,nissan,35902
2317,2015,doors,nissan,12840
2318,2015,doors,nissan,63933
2319,2012,door,nissan,100079
2320,2015,doors,nissan,37953
2321,2017,rogue,nissan,8677
2322,2020,rogue,nissan,11583
2323,2020,altima,nissan,14320
2324,2016,door,nissan,19723
2325,2018,armada,nissan,29554
2326,2018,maxima,nissan,39309
2327,2018,maxima,nissan,34951
2328,2018,sport,nissan,35870
2329,2018,altima,nissan,44423
2330,2012,xterra,nissan,92982
2331,2018,murano,nissan,36844
2332,2018,titan,nissan,33605
2333,2018,sport,nissan,28009
2334,2018,rogue,nissan,41366
2335,2016,door,nissan,98354
2336,2018,rogue,nissan,39598
2337,2020,rogue,nissan,21009
2338,2018,sentra,nissan,28880
2339,2018,sport,nissan,28626
2340,2020,rogue,nissan,14850
2341,2018,rogue,nissan,41096
2342,2020,rogue,nissan,12748
2343,2020,rogue,nissan,14531
2344,2020,rogue,nissan,15931
2345,2020,rogue,nissan,10875
2346,2019,frontier,nissan,31172
2347,2019,frontier,nissan,16248
2348,2019,frontier,nissan,18137
2349,2019,altima,nissan,25664
2350,2019,altima,nissan,31026
2351,2019,altima,nissan,41287
2352,2019,altima,nissan,43612
2353,2019,altima,nissan,29545
2354,2019,frontier,nissan,24303
2355,2019,altima,nissan,29661
2356,2019,frontier,nissan,18857
2357,2019,frontier,nissan,14470
2358,2019,altima,nissan,42364
2359,2019,altima,nissan,37108
2360,2019,altima,nissan,26432
2361,2019,rogue,nissan,24174
2362,2019,sport,nissan,30756
2363,2019,rogue,nissan,32473
2364,2019,sport,nissan,22947
2365,2018,murano,nissan,17127
2366,2019,kicks,nissan,20793
2367,2019,pathfinder,nissan,32519
2368,2019,sentra,nissan,26930
2369,2019,sentra,nissan,40839
2370,2018,rogue,nissan,44732
2371,2019,rogue,nissan,19292
2372,2019,sport,nissan,24155
2373,2019,sentra,nissan,33369
2374,2017,rogue,nissan,28918
2375,2019,rogue,nissan,21623
2376,2017,xd,nissan,16224
2377,2019,sport,nissan,26406
2378,2017,rogue,nissan,27790
2379,2019,rogue,nissan,19182
2380,2017,sentra,nissan,11837
2381,2019,pathfinder,nissan,21774
2382,2017,door,nissan,17738
2383,2019,sport,nissan,27206
2384,2019,rogue,nissan,20508
2385,2019,sport,nissan,24987
2386,2019,pathfinder,nissan,21273
2387,2019,pathfinder,nissan,23863
2388,2016,rogue,nissan,31566
2389,2019,sentra,nissan,25261
2390,2019,pathfinder,nissan,20628
2391,2017,door,nissan,48765
2392,2019,rogue,nissan,30645
2393,2017,door,nissan,60158
2394,2019,versa,nissan,39985
2395,2018,sentra,nissan,39208
2396,2018,sentra,nissan,45080
2397,2018,sport,nissan,39247
2398,2018,sentra,nissan,46382
2399,2018,sentra,nissan,39893
2400,2018,sentra,nissan,41203
2401,2018,sentra,nissan,40648
2402,2018,murano,nissan,31551
2403,2018,sentra,nissan,38761
2404,2018,sentra,nissan,42838
2405,2018,versa,nissan,41557
2406,2018,sentra,nissan,41136
2407,2018,sentra,nissan,41141
2408,2016,door,nissan,115716
2409,2018,versa,nissan,52260
2410,2016,rogue,nissan,22041
2411,2012,door,nissan,161836
2412,2012,door,nissan,83720
2413,2016,rogue,nissan,37605
2414,2016,rogue,nissan,63738
2415,2013,door,nissan,155704
2416,2012,door,nissan,234792
2417,2018,pathfinder,nissan,24143
2418,2017,door,nissan,1
2419,2015,door,nissan,132655
2420,2017,rogue,nissan,28079
2421,2015,door,nissan,74906
2422,2017,door,nissan,53155
2423,2017,titan,nissan,94258
2424,2014,door,nissan,65620
2425,2012,door,nissan,92878
2426,2017,pathfinder,nissan,25918
2427,2018,rogue,nissan,37830
2428,2018,frontier,nissan,13875
2429,2018,frontier,nissan,6024
2430,2016,door,nissan,76789
2431,2018,sport,nissan,30409
2432,2018,sport,nissan,44864
2433,2019,pathfinder,nissan,42397
2434,2018,sentra,nissan,16778
2435,2015,door,nissan,99767
2436,2019,rogue,nissan,34692
2437,2019,rogue,nissan,30721
2438,2017,door,nissan,53376
2439,2016,nvp,nissan,21282
2440,2015,door,nissan,81699
2441,2018,door,nissan,33048
2442,2018,sentra,nissan,10372
2443,2018,pathfinder,nissan,8889
2444,2017,sentra,nissan,127780
2445,2016,murano,nissan,59640
2446,2015,door,nissan,83975
2447,2016,rogue,nissan,46178
2448,2018,altima,nissan,34460
2449,2018,pathfinder,nissan,30594
2450,2018,pathfinder,nissan,39817
2451,2018,pathfinder,nissan,40419
2452,2018,rogue,nissan,35493
2453,2018,rogue,nissan,37073
2454,2013,door,nissan,98384
2455,2018,pathfinder,nissan,34640
2456,2018,rogue,nissan,38760
2457,2018,pathfinder,nissan,34841
2458,2018,rogue,nissan,35065
2459,2018,altima,nissan,37741
2460,2018,altima,nissan,27488
2461,2018,pathfinder,nissan,37452
2462,2018,rogue,nissan,39797
2463,2018,pathfinder,nissan,36714
2464,2018,rogue,nissan,36207
2465,2018,rogue,nissan,38563
2466,2018,rogue,nissan,39885
2467,2018,altima,nissan,41852
2468,2018,pathfinder,nissan,39454
2469,2018,pathfinder,nissan,40203
2470,2018,rogue,nissan,34547
2471,2015,door,nissan,75858
2472,2019,pathfinder,nissan,31123
2473,2018,versa,nissan,33808
2474,2019,titan,nissan,30599
2475,2018,versa,nissan,33931
2476,2019,sentra,nissan,40359
2477,2018,rogue,nissan,44313
2478,2018,versa,nissan,33078
2479,2019,frontier,nissan,24320
2480,2018,rogue,nissan,42502
2481,2019,altima,nissan,33497
2482,2018,versa,nissan,39577
2483,2019,altima,nissan,36974
2484,2018,versa,nissan,41220
2485,2019,frontier,nissan,1
2486,2018,rogue,nissan,41539
2487,2019,sentra,nissan,19646
2488,2018,rogue,nissan,39924
2489,2019,note,nissan,33279
2490,2018,rogue,nissan,40259
2491,2019,sentra,nissan,25264
2492,2018,versa,nissan,35677
2493,2019,versa,nissan,35511
2494,2018,versa,nissan,33027
2495,2019,versa,nissan,23609
2496,2018,versa,nissan,34553
2497,2018,versa,nissan,31594
2498,2018,versa,nissan,32557
2499,2018,versa,nissan,31371
